input_job_title,minimum_salary,Average_salary,maximum_salary
Facility Management,$44745,$69861,$109073
Senior Software Designer,$86374,$120041,$170362
Diagnostic Technician,$22196,$39469,$70183
Health Officer,$52947,$83840,$132758
Traffic Officer,$26002,$40156,$62014
Clinical Account Manager,$51386,$79118,$121815
Public Health Administrator,$39771,$67616,$114955
Associate Architect,$59560,$97205,$158659
Building Inspector,$33581,$57481,$98389
Personal Financial Advisor,$43450,$81773,$153896
Control Systems Engineer,$57851,$86113,$128181
Commissioning Manager,$77598,$111467,$160118
Domain Architect,$93967,$135647,$195813
Senior Geologist,$65285,$98982,$150074
Senior Geological Advisor,$63015,$97108,$149646
Senior Broadcast Producer,$68541,$103586,$156549
Laboratory Operations Manager,$58307,$85847,$126395
Database Engineer,$73024,$117535,$189179
Drupal Consultant,$76409,$102795,$138294
Drupal Architect,$76409,$102795,$138294
Home Theater Supervisor,$35285,$62484,$110647
Medical Coding Auditor,$67071,$94413,$132900
Coding Auditor,$67071,$94413,$132900
National Service Manager,$41587,$69772,$117058
Oracle Financials Consultant,$70508,$101518,$146165
Senior Staff Engineer,$106135,$160453,$242570
Drilling Engineer,$81101,$128476,$203525
Pipeline Engineer,$82498,$121501,$178944
Clinical Informatics Specialist,$44186,$76533,$132557
Knowledge Management Analyst,$54378,$94383,$163819
Metallurgical Engineer,$65464,$89735,$123003
Plant Metallurgist,$68330,$95394,$133179
Process Metallurgist,$68330,$95394,$133179
Quality Program Manager,$43378,$77229,$137498
Product Safety Specialist,$48338,$69782,$100739
Police Detective,$54444,$84072,$129824
Physics Teacher,$14500,$28117,$55512
Senior Trader,$66050,$141214,$301914
Internet Consultant,$51602,$87289,$147657
Technical Inspector,$33581,$57481,$98389
Naval Architect,$63542,$93584,$137831
Workers' Compensation Supervisor,$66725,$101826,$155393
Robotics Engineer,$60990,$94182,$145439
Senior Director Of Technology,$73253,$122938,$239239
Design Engineering Consultant,$35396,$83274,$195914
Resident Engineer,$70678,$109590,$169926
Mechanical Systems Engineer,$61114,$89671,$131573
Senior Geophysicist,$84724,$128334,$201138
Eligibility Supervisor,$35361,$58648,$97272
Histologist,$27197,$48147,$85234
Senior Public Health Nutritionist,$32775,$56035,$101624
Private Security Contractor,$42574,$58853,$81357
Business Planning Associate,$39104,$68661,$120560
Senior Project Geologist,$65285,$98982,$150074
Consulting Geologist,$38368,$63418,$104822
Historic Preservation Planner,$43110,$69083,$110704
Integration Developer,$59173,$96064,$155954
Head Groundskeeper,$39226,$50517,$65058
Senior Environmental Engineer,$67396,$102769,$156707
Corporate Program Manager,$43378,$77229,$137498
Program Worker,$24436,$33692,$46455
Agricultural Marketing Specialist,$34612,$50681,$74210
Senior Security Consultant,$83253,$125834,$190194
Senior Security Architect,$74192,$128275,$235902
County Administrator,$43708,$74678,$127592
Research Trainee,$33776,$75665,$169504
Federal Security Director,$45870,$89752,$175612
Master Production Scheduler,$57564,$82109,$117120
Sharepoint Architect,$93967,$135647,$195813
Senior Sharepoint Developer,$96983,$127250,$169325
Lease Operator,$200014,$309107,$477703
Executive Engineer,$59731,$100443,$168903
Network Infrastructure Engineer,$66387,$119586,$215416
Body Shop Manager,$38156,$63259,$104875
Yacht Broker,$43809,$101250,$234005
Nursing Staff,$60382,$93847,$145857
Wound Care Nurse Practitioner,$52596,$96321,$176398
Line Supervisor,$34650,$56515,$92179
Executive Medical Director,$179314,$218064,$287772
Unloader,$25081,$38347,$58630
Agile Coach,$71871,$99463,$137647
Avionics Electrical Technician,$32135,$46245,$66551
Controls Engineer,$57851,$86113,$128181
Costume Technician,$22196,$39469,$70183
Exploration Geoscientist,$23825,$39664,$66035
Senior Network Security Engineer,$94089,$135613,$200628
Network Engineering Manager,$60879,$93345,$143123
Senior Infrastructure Engineer,$87912,$141111,$236941
Senior Engineering Geologist,$65285,$98982,$150074
Coding Educator,$31879,$63735,$127424
Revenue Cycle Manager,$45975,$77233,$129743
Associate Director Of Technology,$67513,$122938,$223864
Development Geologist,$38368,$63418,$104822
Analyst Supervisor,$55526,$94857,$162047
Supply Chain Management Consultant,$59409,$91325,$140388
Treasury Accountant,$43174,$61809,$88488
Director Of Financial Planning,$65081,$106712,$174974
Service Relationship Manager,$41587,$69772,$117058
Senior Petroleum Engineer,$104226,$151601,$226650
Petroleum Engineer,$81101,$128476,$203525
Shared Services Manager,$41587,$69772,$117058
Explosive Detection Canine Handler,$54444,$84072,$129824
Certified Professional Medical Coder,$37085,$54482,$80040
Senior Industrial Engineer,$76561,$102992,$138547
Lead Systems Analyst,$74597,$111768,$154673
Bank Examiner,$34721,$68584,$135473
Data Management Associate,$32809,$67355,$138276
Conservation Specialist,$39162,$70245,$126000
Assistant Research Scientist,$53019,$93749,$164467
Completions Engineer,$59731,$100443,$168903
Associate Doctor,$95732,$177220,$328068
Director Of Care Management,$58184,$93696,$150881
Security Operations Center Manager,$36747,$71256,$138170
Unified Communications Architect,$59602,$97265,$158729
Quality Engineering Intern,$33518,$48471,$70093
Warning Coordination Meteorologist,$32917,$56519,$97045
Assistant Logistics Manager,$51536,$78501,$122775
Sourcing Partner,$37376,$55021,$80996
Offering Manager,$40612,$71704,$126601
Primary Care Pediatrician,$126009,$196698,$307044
Software Implementation Consultant,$52433,$81201,$125752
Localization Specialist,$39162,$70245,$126000
Consultant Dietitian,$37690,$54997,$80251
Senior Concept Artist,$73114,$113042,$181506
Background Designer,$40877,$69961,$119738
Lead Concept Artist,$96853,$136781,$205245
Vendor Consultant,$39793,$54879,$75686
Database Architect,$89485,$124590,$173466
Enterprise Engineer,$59731,$100443,$168903
Change Management Manager,$35535,$64426,$116806
Consulting Systems Engineer,$65495,$103710,$164222
Sleep Technologist,$26800,$33651,$42252
Project Development Engineer,$72401,$114832,$182129
Mine Engineer,$65119,$97741,$146707
Senior Payroll Manager,$81167,$117045,$168781
English Language Tutor,$34877,$52396,$78715
Board Certified Behavior Analyst,$59494,$80329,$108460
Information Security Officer,$42574,$58853,$81357
Well Site Supervisor,$46629,$71722,$110318
Senior Coiled Tubing Supervisor,$41737,$67531,$109265
Director Quality Management,$81755,$124865,$190707
Process Engineering Intern,$14672,$41200,$78773
Product Architect,$112170,$152546,$207454
Occupational Therapy Aide,$84970,$108162,$137684
Aquatics Specialist,$27035,$38050,$53552
Strategy & Operations Summer Scholar,$33863,$55808,$91974
Information Technology Business System Analyst,$59775,$90475,$136943
Sales Trader,$49774,$95104,$181714
Master Instructor,$16827,$32110,$61273
Command Language Program Manager,$43222,$79778,$147251
Title Manager,$36645,$69752,$132772
Senior Clinical Analyst,$50452,$77776,$124448
Patent Counsel,$56664,$106009,$198325
Educational Interpreter,$31521,$52895,$88761
Video Relay Interpreter,$31521,$52895,$88761
Video Interpreter,$31521,$52895,$88761
Clinical Nurse Specialist,$85017,$136167,$218093
Chief Clinical Officer,$79405,$134371,$227386
Technical Design Lead,$87245,$128556,$189427
Pega Architect,$59602,$97265,$158729
Senior Backend Engineer,$107560,$159443,$236353
Assistant Dean,$52406,$87116,$144815
Transport Planner,$46153,$69637,$105070
Area Executive Chef,$53925,$75952,$106978
Dealer Relations Manager,$40989,$76979,$144569
Senior Technical Engineer,$72810,$105709,$180069
Clinical Audiologist,$52366,$81967,$128300
Clinical Sales Manager,$51386,$79118,$121815
Distribution Center Manager,$54673,$82728,$125180
Senior Staff Geophysicist,$65148,$108758,$181562
Audiologist,$63841,$93442,$139775
Senior Software Quality Engineer,$81639,$116483,$170338
Senior Software Test Engineer,$87577,$121957,$169834
Faculty Professor,$31141,$61372,$120952
Nutrition Coordinator,$24228,$47488,$93077
Summer Research Associate,$23879,$38812,$63084
Chemistry Instructor,$16827,$32110,$61273
Senior Process Analyst,$64850,$94674,$138215
Reimbursement Business Manager,$35299,$68418,$132610
Pediatric Infectious Disease Fellow,$64828,$128867,$256165
Critical Care Fellow,$260705,$294380,$332405
Race Mechanic,$35971,$59093,$97076
Security Advisor,$42574,$58853,$81357
Airport Operations Agent,$33140,$45695,$63007
Clinic Nurse Manager,$73500,$119853,$195440
Hematology Oncology Consultant,$121962,$132711,$144407
Volunteer Consultant,$18626,$37528,$102022
Regulatory Affairs Manager,$64581,$100883,$157592
Staff Physical Therapist,$54849,$86019,$134901
Senior Quality Assurance Manager,$80716,$114330,$161941
Consulting Technical Manager,$61740,$96091,$149554
Doctoral Researcher,$33776,$75665,$169504
Chief Medical Information Officer,$58033,$117648,$238505
Fireman,$35401,$52553,$78016
Lead Application Developer,$85991,$126385,$168488
Wholesale Parts Manager,$42019,$69979,$116545
Audit Consultant,$67071,$94413,$132900
Advising Coordinator,$25966,$39683,$60646
Data Integration Specialist,$42209,$87477,$181293
Aircraft Maintenance Technician,$45593,$67382,$99585
Service Mechanic,$35971,$59093,$97076
Greenhouse Worker,$20152,$28723,$40939
Network Design Engineer,$60879,$93345,$143123
Continuous Improvement Lead,$56967,$82033,$118129
First Aid Instructor,$34934,$59589,$101644
Agile Transformation Coach,$71871,$99463,$137647
Oncology Consultant,$121962,$132711,$144407
Software Programmer,$72401,$114832,$182129
Quality Improvement Manager,$68096,$93336,$127933
Land Consultant,$51602,$87289,$147657
Medicaid Service Coordinator,$35500,$48290,$65688
Senior Computational Biologist,$52939,$89934,$143639
Neurologist,$134456,$238953,$424664
Certified Home Inspector,$74880,$135646,$245723
Emergency Department Medical Director,$100037,$169160,$286045
Surgeon,$271421,$298541,$328371
Clinical Practice Specialist,$44186,$76533,$132557
Commercial Executive,$37473,$73616,$144619
Psychiatric Consultant,$51602,$87289,$147657
Senior Virtualization Engineer,$94301,$126732,$173192
Cloud Infrastructure Engineer,$81502,$122323,$183589
Network Security Administrator,$51192,$75183,$110418
Regional Human Resources Manager,$55568,$80550,$116764
Director Of Manufacturing,$93769,$148769,$236030
Nursing Supervisor,$64771,$97385,$146421
Dealer Credit Analyst,$36206,$66553,$122337
Neurosurgeon,$44472,$120984,$329131
Pipeline Scheduler,$28448,$57251,$115215
Lead Product Analyst,$83738,$126336,$171255
Information Risk Manager,$58606,$98963,$167107
Child Protective Investigator,$33220,$49965,$75151
Switch Technician,$22196,$39469,$70183
Senior Development Engineer,$93070,$135501,$202798
City Attorney,$56832,$99043,$172605
Director Of Pricing,$53306,$99247,$184783
Senior Petroleum Geologist,$65285,$98982,$150074
Jail Administrator,$43708,$74678,$127592
Deputy Chief,$206130,$252158,$331785
Senior Concierge Associate,$30282,$45678,$71751
Rheumatology Fellow,$27823,$52614,$99494
Physician Advisor,$95732,$177220,$328068
Nurse Care Manager,$108882,$138308,$188097
Special Education Specialist,$35050,$55465,$87771
Health Services Administrator,$57084,$85127,$126947
Intellectual Property Attorney,$51591,$97727,$185122
Chemical Technician,$32643,$46045,$64950
Network Operations Manager,$53958,$88579,$145413
Life Insurance Specialist,$42764,$56708,$75198
Dental Officer,$110285,$163108,$241231
Periodontist,$106220,$192754,$349784
Dental Consultant,$51602,$87289,$147657
Oncology Account Manager,$35906,$65864,$120816
Oncology Sales Specialist,$36858,$79468,$171337
Executive Pharmaceutical Sales Specialist,$44485,$73252,$120621
Senior Claims Consultant,$77967,$109525,$153856
Computer Science Intern,$30139,$50041,$83085
Senior Site Reliability Engineer,$121325,$199287,$344095
Senior Unix Engineer,$122669,$166607,$230395
Criminal Investigator Special Agent,$35009,$65193,$121400
Accounting Instructor,$16827,$32110,$61273
Regional Service Manager,$49811,$83900,$141318
Deputy Team Leader,$27346,$40931,$61264
Roofer,$33682,$52055,$80448
Supply Officer,$61522,$87761,$127567
Senior Landman,$95875,$131077,$179202
Land Manager,$58772,$95058,$153748
Mud Engineer,$81101,$128476,$203525
Completion Consultant,$51602,$87289,$147657
Metadata Librarian,$36677,$57280,$89455
Senior Java Developer,$85068,$121797,$174385
Commissioning Agent,$39018,$71133,$129683
Bench Jeweler,$29914,$48150,$77504
Interventional Cardiologist,$99769,$184496,$341176
Brigade Commander,$43222,$79778,$147251
Head Sommelier,$30204,$53071,$93250
Watch Supervisor,$35361,$58648,$97272
Pediatric Emergency Medicine Fellow,$51503,$110838,$238529
Pediatric Emergency Medicine Physician,$51503,$110838,$238529
Cybersecurity Specialist,$64496,$99095,$152253
District Attorney,$56832,$99043,$172605
Inpatient Clinical Pharmacist,$106708,$142811,$191130
Interior Design Manager,$40647,$65864,$106724
Assets Protection Team Leader,$28364,$39454,$54881
Outpatient Pharmacist,$99079,$130103,$170841
Drug Safety Specialist,$48338,$69782,$100739
Arabic Translator,$26162,$56859,$123573
Automotive Engineer,$59731,$100443,$168903
Blockchain Developer,$59173,$96064,$155954
Software Application Developer,$57673,$85930,$128032
Plumbing Designer,$40877,$69961,$119738
Business Management Associate,$32809,$67355,$138276
Family Practice Physician,$274641,$323210,$381820
Primary Care Physician,$153546,$224235,$334581
Emergency Room Physician,$67020,$126355,$254046
Systems Project Manager,$60383,$97709,$158108
Physical Security Specialist,$66656,$108337,$176083
Physics Instructor,$16827,$32110,$61273
Partner Sales Manager,$74784,$110115,$174072
Assistant Radiation Safety Officer,$54294,$85670,$135176
Log Analyst,$46041,$72159,$113095
Senior Product Design Engineer,$114333,$151385,$200443
Laboratory Director,$73029,$106878,$156416
Business Solutions Architect,$93967,$135647,$195813
Instrumentation Engineer,$74594,$103777,$144376
Software Designer,$68063,$101730,$152051
Embedded Software Developer,$72401,$114832,$182129
Firmware Developer,$80763,$122827,$186799
Senior Embedded Software Engineer,$90638,$140242,$216993
Senior Actuarial Assistant,$71311,$111738,$175084
Public Health Officer,$39771,$67616,$114955
Senior Payroll Analyst,$56501,$80560,$114863
Plant Technician,$22196,$39469,$70183
Drilling Fluids Engineer,$81101,$128476,$203525
Citrix Consultant,$51602,$87289,$147657
Nurse Consultant,$65708,$96129,$140634
Maintenance Foreman,$31973,$44502,$61941
Biology Faculty,$31141,$61372,$120952
Economic Development Director,$47591,$86295,$156474
Clinical Veterinarian,$86126,$128782,$192563
Resident Medical Officer,$109959,$191115,$332168
Neurology,$134456,$238953,$424664
Senior Quality Engineer,$72265,$96924,$129999
Resident Doctor,$95732,$177220,$328068
Director Of Religious Education,$43099,$76343,$135227
Senior Technical Lead,$101114,$144518,$206554
College Lecturer,$35759,$57182,$91440
Vocational Rehabilitation Consultant,$32137,$45173,$63497
Life Underwriter,$49800,$86789,$151251
Business Continuity Manager,$42688,$75150,$132297
Staff Development Engineer,$71637,$121255,$205239
